WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
537126,New Well,Public Supply,"Midland( S349)DTP,LLC.",Midland,"5308 SH 349, Midland, 79706",31.93008,-102.06155,45-08-5,2/17/2020,2/18/2020,2020,90,Wesley G Hudnall,Permian H2O Solutions,59661,
536145,New Well,Public Supply,ENDEAVOR MAN CAMP,Midland,"1/4 S OF CR 180 ON 349, MIDLAND,",31.851889,-102.045778,45-16-2,1/27/2020,1/30/2020,2020,166,Ronny Keith,WEST TEXAS WATER WELL SERVICE,4854,
535653,New Well,Public Supply,"Midland (1150)DTP,LLC C/O GBT Realty",Midland,"5202 N CR 1150 on appox. 1 mile north or 1150, Midland, 79710",32.0681,-102.0326,27-64-6,1/15/2020,1/16/2020,2020,90,Wesley G Hudnall,Permian H2O Solutions,59661,
506826,New Well,Public Supply,Compass Well Service,Midland,"10013 CR 157 From the intersection of business Rd 20 and FM 1788, Go south for 2.8 mi. Turn east on West County Road 157 and go 0.4 miles. Turn south onto property for 573 ft. to location., Midland,",31.86958,-102.19652,45-15-2,2/25/2019,2/26/2019,2019,95,Edward Bryan,Straub Corporation,58165,
496118,New Well,Public Supply,Dollar General,Midland,"scr 1210, midland, 79706",31.95705,-102.1046,45-08-4,11/20/2018,11/21/2018,2018,150,Mike Tharp,tucker water well svc,55070,
486835,New Well,Public Supply,PARSLEY ENERGY,Midland,"1703 ECR 120, MIDLAND, 79706",31.966111,-102.041444,45-08-3,7/23/2018,7/24/2018,2018,115,Russell Southerland,WEST TEXAS WATER WELL SERVICE,2713,
484514,New Well,Public Supply,HORSESHOE LODGES,Midland,"8005 EAST HWY 80, MIDLAND, 79706",32.057247,-101.957217,28-57-5,5/14/2018,6/21/2018,2018,120,Canon Kutscher,"Hydro Resources Mid-Continent, Inc.",58773,
444973,New Well,Public Supply,BASIC ENERGY,Midland,"5805 E HWY 80, MIDLAND, 79705",32.039558,-101.990833,28-57-7,1/25/2017,1/25/2017,2017,107,Russell Southerland,WEST TEXAS WATER WELL SERVICE,2713,
413789,New Well,Public Supply,OCCIDENTAL OIL & GAS,Midland,"HWY 349 FROM THE INTERSECTION OF MOCKINGBIRD LANE & BIG SPRING ST DRIVING NORTH WEST ON BIG SPRING ST APPROX 1.45 MILE, TURN WEST ONTO LEASE ROAD DRIVE APPROX 0.31 MILE, TURN SOUTH WALK APPROX 0.07 MILE., MIDLAND, 79707",32.0775,-102.095833,27-64-4,12/21/2015,12/22/2015,2015,100,Bryan A Mehlhoff,"MARK'S WATER WELL SERVICE, INC",59300,
398860,New Well,Public Supply,Pioneer Natural Resources,Midland,"Dockum #2,",32.033334,-102.003889,27-64-9,5/18/2015,5/30/2015,2015,1440,Casey Bob Hutto,Case Drilling and Pump Service,58880,
396827,New Well,Public Supply,ETech Environmental  & Safety Solutions,Midland,"West CR 100, Midland, 79708",31.939167,-102.266667,45-06-6,5/7/2015,5/12/2015,2015,145,Martin Straub,Straub Corporation,4653,
388494,New Well,Public Supply,Greater Gardendale Water Supply Corp.,Midland,"Gardendale, 79758",31.988056,-102.283611,45-06-3,1/28/2015,2/2/2015,2015,140,David Gann,West Texas Water Well Service,4855,
388492,New Well,Public Supply,Greater Gardendale Water Supply Corp.,Midland,"Gardendale, 79758",31.986111,-102.282778,45-06-3,2/3/2015,2/4/2015,2015,140,David Gann,West Texas Water Well Service,4855,
386622,New Well,Public Supply,Permian Lodging,Midland,"I-20 & Farm To Market Rd., Midland, 79706",31.966944,-102.048334,45-08-2,12/4/2014,12/5/2014,2014,130,Luann Hutto,"T - Bar Drilling,Inc.",58828,
386615,New Well,Public Supply,Permian Lodging,Midland,"I-20 & Farm To Market, Midland, 79706",31.966667,-102.033334,45-08-3,12/3/2014,12/3/2014,2014,130,Luann Hutto,"T - Bar Drilling, Inc.",58828,
386611,New Well,Public Supply,Permian Lodging,Midland,"I-20 & Farm To Market Road 1180, Midland, 79706",31.967222,-102.046945,45-08-2,12/1/2014,12/3/2014,2014,168,Luann Hutto,"T - Bar Drilling, Inc.",58828,
382901,New Well,Public Supply,Lozoya Construction,Midland,"3219 NCR 1106, Midland, 79706",32.063334,-101.951112,28-57-5,10/27/2014,10/28/2014,2014,80,Jimmy Kitchens,"AAW Services, LLC",57993,
371923,New Well,Public Supply,Greenwood ISD,Midland,"SCR 1110 & ECR 120, Midland, 79706",31.988611,-101.936111,44-01-2,7/14/2014,7/17/2014,2014,137,Rory B Roach,West Texas Water Well Service,54815,
371920,New Well,Public Supply,Greenwood ISD,Midland,"SCR 1110 & ECR 120, Midland, 79706",31.989445,-101.936389,44-01-2,7/18/2014,7/23/2014,2014,137,Rory B Roach,West Texas Water Well Service,54815,
370789,New Well,Public Supply,Thomas Petroleum,Midland,"N. I-20 Svc. Rd., Midland, 79765",31.910278,-102.223889,45-07-7,6/19/2014,6/20/2014,2014,110,Russell Southerland,West Texas Water Well Service,2713,
368257,New Well,Public Supply,Thomas Petroleum,Midland,"N 1-20 Svc. Rd., Midland, 79765",31.910278,-102.223889,45-07-7,6/19/2014,6/20/2014,2014,110,Russell Southerland,West Texas Water Well Service,2713,
356928,New Well,Public Supply,Uncles Store,Midland,"Hwy 307, Greenwood,",32.012223,-101.968333,28-57-7,3/14/2014,3/14/2014,2014,170,Tom H Shelton,Dt Boring/Oasis,59339,
349563,New Well,Public Supply,Pioneer Natural Resources,Midland,"Midland,",32.036667,-102.006945,27-64-9,11/7/2013,11/21/2013,2013,1411,Rory B Roach,West Texas Water Well Service,54815,
347106,New Well,Public Supply,John Crane Production Solutions,Midland,"6308 West IH-20, Midland, 79707",31.946111,-102.152223,45-07-6,11/8/2013,11/13/2013,2013,126,Jimmy Kitchens,"AAW Services, LLC",57993,
320034,New Well,Public Supply,Key Energy,Midland,"12400 I-20, Midland, 79706",31.898056,-102.248334,45-07-7,5/2/2013,5/2/2013,2013,116,Rory B Roach,West Texas Water Well Service,54815,
318093,New Well,Public Supply,dollar general,Midland,"fm 307, greenwood,",32.011389,-101.969444,28-57-7,5/3/2013,5/6/2013,2013,178,Mike Tharp,AAW Services,55070,
